iter	MultiClass
0	0.9954702106
1	0.9167385144
2	0.852847779
3	0.8027126467
4	0.7585692388
5	0.7220600332
6	0.6909926925
7	0.6646377066
8	0.6420286466
9	0.6223841779
10	0.6046798
11	0.5895804053
12	0.5760756705
13	0.5646142397
14	0.5542673955
15	0.5452808169
16	0.5372727416
17	0.5301189072
18	0.523969273
19	0.5181059379
20	0.513398518
21	0.5089166354
22	0.5046259394
23	0.5010750745
24	0.4976882644
25	0.4945738346
26	0.4915331034
27	0.4887911156
28	0.4866701099
29	0.4844963528
30	0.4823655109
31	0.4804675112
32	0.4788760908
33	0.4774807735
34	0.4760259363
35	0.474566134
36	0.4732105846
37	0.4720608791
38	0.4708544012
39	0.4695889598
40	0.4687360771
41	0.4676573934
42	0.4668824144
43	0.4663060489
44	0.465305726
45	0.4644899275
46	0.4637539054
47	0.4632127148
48	0.4625160673
49	0.4617054179
50	0.4611706003
51	0.460689008
52	0.4601347998
53	0.4597224863
54	0.4592055343
55	0.458590793
56	0.4580344637
57	0.4576390696
58	0.4573365396
59	0.4568097677
60	0.4563978803
61	0.4559812292
62	0.4554432227
63	0.454807715
64	0.4543322484
65	0.4540692062
66	0.453776098
67	0.4534754029
68	0.4530951967
69	0.4525504586
70	0.4523500125
71	0.4519704053
72	0.4516233612
73	0.4515120544
74	0.4512543186
75	0.4510390526
76	0.4507609952
77	0.4503603955
78	0.4499799077
79	0.4497090442
80	0.4495143627
81	0.4493184252
82	0.4490449148
83	0.4487265148
84	0.4484986239
85	0.4483442014
86	0.4481178818
87	0.4478146537
88	0.4476193968
89	0.4472628445
90	0.4470171293
91	0.4468449315
92	0.4465639979
93	0.4463086545
94	0.4461502399
95	0.446026589
96	0.44584596
97	0.4455611647
98	0.4453166347
99	0.4451316125
100	0.4449354086
101	0.4447651832
102	0.4445712075
103	0.4443921205
104	0.4440383802
105	0.4437205541
106	0.4434085083
107	0.4431313524
108	0.4428281015
109	0.4426533506
110	0.4424786505
111	0.4423096331
112	0.4420882534
113	0.4418783019
114	0.4415771649
115	0.4414390671
116	0.4411857502
117	0.4409329402
118	0.4406713295
119	0.4402972288
120	0.4400047908
121	0.4397729786
122	0.4396261628
123	0.4393090174
124	0.439051322
125	0.4387576856
126	0.4385531874
127	0.4384305011
128	0.4382330668
129	0.4379711756
130	0.4377823219
131	0.437656171
132	0.4374669871
133	0.4373269159
134	0.4371449539
135	0.4369692372
136	0.4367477257
137	0.4365991371
138	0.4364446946
139	0.4362533835
140	0.4361069078
141	0.4359779647
142	0.4358461847
143	0.4356347087
144	0.4354120184
145	0.4351450472
146	0.4350040132
147	0.4346436477
148	0.4345184356
149	0.4343580537
150	0.4341135696
151	0.4339005036
152	0.4336960884
153	0.4335584123
154	0.433359386
155	0.4331083189
156	0.4328006738
157	0.4327050151
158	0.4326268624
159	0.4324034603
160	0.4322849598
161	0.4321798281
162	0.4319071773
163	0.4317004942
164	0.4316134415
165	0.4314818167
166	0.431353466
167	0.431241577
168	0.4311432323
169	0.4310157054
170	0.4308688841
171	0.4307141031
172	0.4305449707
173	0.4303579
174	0.4301912846
175	0.430067006
176	0.4299654436
177	0.429897165
178	0.4297816525
179	0.4295769379
180	0.4293520256
181	0.4291780321
182	0.4290569565
183	0.4288605302
184	0.4287026794
185	0.4286309815
186	0.4284876651
187	0.4282534987
188	0.4280233027
189	0.4279048861
190	0.4277039699
191	0.4276415941
192	0.4275212453
193	0.4274298576
194	0.4273462134
195	0.4272568917
196	0.4271502899
197	0.4269820678
198	0.4268165118
199	0.4267116585
200	0.4265719975
201	0.426429675
202	0.4262976797
203	0.4261539239
204	0.4259571432
205	0.4259033041
206	0.4257544616
207	0.4255896173
208	0.4255099065
