iter	Passed	Remaining
0	9	9365
1	18	9040
2	26	8833
3	33	8431
4	41	8268
5	48	7987
6	55	7839
7	61	7680
8	69	7598
9	75	7475
10	81	7359
11	88	7310
12	96	7321
13	103	7286
14	110	7233
15	116	7143
16	122	7088
17	128	7025
18	134	6950
19	140	6897
20	146	6844
21	152	6776
22	158	6716
23	164	6680
24	170	6639
25	176	6596
26	182	6569
27	188	6547
28	195	6529
29	200	6487
30	206	6461
31	211	6411
32	218	6395
33	224	6364
34	230	6349
35	235	6309
36	241	6294
37	247	6269
38	252	6231
39	258	6205
40	264	6175
41	269	6142
42	274	6114
43	279	6077
44	285	6052
45	290	6026
46	296	6004
47	301	5986
48	307	5973
49	313	5957
50	318	5930
51	324	5909
52	329	5890
53	335	5876
54	340	5856
55	345	5830
56	352	5825
57	357	5808
58	362	5788
59	368	5772
60	373	5753
61	378	5733
62	384	5719
63	390	5717
64	396	5708
65	401	5687
66	407	5672
67	412	5652
68	418	5642
69	424	5642
70	430	5627
71	435	5612
72	441	5603
73	446	5584
74	451	5567
75	456	5550
76	461	5534
77	466	5515
78	472	5512
79	478	5507
80	484	5498
81	489	5483
82	494	5467
83	500	5452
84	505	5446
85	510	5425
86	516	5416
87	522	5410
88	527	5398
89	533	5392
90	538	5379
91	543	5364
92	549	5359
93	555	5357
94	561	5348
95	566	5335
96	571	5324
97	577	5313
98	582	5304
99	588	5295
100	593	5283
101	598	5268
102	604	5260
103	609	5249
104	615	5246
105	621	5241
106	627	5233
107	632	5223
108	638	5216
109	643	5204
110	648	5193
111	654	5186
112	659	5179
113	665	5170
114	670	5163
115	676	5152
116	681	5143
117	687	5136
118	692	5128
119	698	5119
120	704	5119
121	709	5108
122	715	5101
123	720	5092
124	727	5089
125	733	5085
126	738	5074
127	743	5064
128	748	5053
129	754	5048
130	759	5037
131	764	5027
132	770	5020
133	775	5009
134	780	5001
135	785	4992
136	791	4985
137	796	4977
138	802	4970
139	807	4960
140	812	4951
141	817	4940
142	822	4931
143	828	4924
144	834	4920
145	840	4914
146	845	4905
147	851	4899
148	856	4889
149	861	4880
150	867	4875
151	873	4873
152	879	4867
153	884	4860
154	889	4851
155	895	4844
156	901	4838
157	906	4829
158	910	4817
159	916	4809
160	921	4801
161	926	4791
162	932	4785
163	937	4776
164	941	4766
165	947	4760
166	952	4751
167	957	4744
168	963	4736
169	968	4729
170	974	4723
171	979	4717
172	985	4711
173	990	4703
174	996	4698
175	1002	4692
176	1007	4686
177	1013	4678
178	1018	4671
179	1024	4666
180	1030	4661
181	1035	4654
182	1041	4650
183	1046	4643
184	1052	4635
185	1057	4627
186	1062	4620
187	1068	4615
188	1074	4610
189	1080	4604
190	1086	4601
191	1091	4594
192	1097	4588
